Gene,Index
TPD52,427
TPD52L1,428
TPD52L2,429
TPH1,430
TPI1,431
TPM1,432
TPM2,433
C2,434
TPM3,435
TPM4,436
TPMT,437
TPO,438
TPP2,439
TPR,440
TPSAB1,441
TPT1,442
TPTE,443
C3,444
CRISP2,445
NR2C1,446
NR2C2,447
HSP90B1,448
TRAF1,449
TRAF2,450
TRAF3,451
TRAF5,452
TRAF6,453
C3AR1,454
ACTG2,455
TRH,456
TRHR,457
CCT3,458
TRIO,459
TRIP6,460
TRO,461
C4BPA,462
TRPC1,463
TRPC2,464
TRPC3,465
TRPC4,466
TRPC5,467
TRPC6,468
TRPM2,469
TRPS1,470
TSN,471
TSC1,472
TSC2,473
C4BPB,474
TSG101,475
TSHB,476
TSHR,477
TSNAX,478
TSPY1,479
TSPYL1,480
CAPN5,481
EIPR1,482
PHLDA2,483
TST,484
TSTA3,485
TTC1,486
DNAJC7,487
TTC3,488
TTC4,489
C5,490
TTF1,491
TTK,492
TTN,493
TTPA,494
TUB,495
TTR,496
TUBA4A,497
RNF208,498
MUC5B,499
C5AR1,500
TUBB2A,501
FAM155A,502
TUBG1,503
TUFM,504
PPIEL,505
GOLGA8H,506
TUFT1,507
CCDC30,508
CDK11A,509
SLC35E2B,510
TULP1,511
TULP2,512
LINC00623,513
TULP3,514
C6,515
HIRA,516
TWIST1,517
TNFSF4,518
CCR2,519
SFTPA2,520
TNFRSF4,521
TXK,522
TXN,523
TMEM242,524
TXNRD1,525
TYK2,526
SEC14L1P1,527
TYMS,528
TYR,529
BORCS8,530
C7,531
ZNF814,532
TYRO3,533
LOC730101,534
LINC01136,535
TYROBP,536
TYRP1,537
U2AF1,538
C8A,539
UBA52,540
UBB,541
UBC,542
UBA1,543
UBA7,544
UBE2A,545
C8B,546
UBE2B,547
UBE2D1,548
UBE2D2,549
UBE2D3,550
UBE2E1,551
UBE2G1,552
UBE2G2,553
UBE2H,554
UBE2I,555
C8G,556
UBE2L3,557
UBE2N,558
UBE2V2,559
UBE3A,560
OSGIN2,561
SUMO1,562
UBP1,563
UBTF,564
UCHL1,565
UCHL3,566
UPK1B,567
UCN,568
C9,569
UCP1,570
UCP2,571
UCP3,572
UFD1,573
SLC35A2,574
SCGB1A1,575
UGCG,576
UGDH,577
UGP2,578
UGT2B4,579
UGT2B15,580
UGT2B17,581
UGT8,582
UMOD,583
UCK2,584
UMPS,585
COL14A1,586
UNG,587
USP4,588
NR1H2,589
UPP1,590
UPK2,591
VPS51,592
UPK3A,593
UQCRB,594
UQCRC1,595
UQCRC2,596
UQCRFS1,597
UQCRH,598
UROD,599
UROS,600
USF2,601
USP1,602
USH2A,603
MRPL49,604
UTRN,605
KDM6A,606
UTY,607
UVRAG,608
VASP,609
VAV1,610
ZNHIT2,611
VAV2,612
VBP1,613
VCAM1,614
VCL,615
VCP,616
VDAC1,617
VDAC2,618
VDAC3,619
VDR,620
VEGFA,621
VEGFB,622
VEGFC,623
VGF,624
VHL,625
VIL1,626
EZR,627
VIM,628
VIP,629
VIPR1,630
VIPR2,631
VLDLR,632
BEST1,633
MPPED2,634
VPREB1,635
TRPV1,636
VRK1,637
VRK2,638
VSNL1,639
VTN,640
MYRF,641
VWF,642
WAS,643
WIPF1,644
EIF4H,645
TMEM258,646
CLIP2,647
LAT2,648
CORO2A,649
WEE1,650
WFS1,651
NSD2,652
NELFA,653
DAGLA,654
WNT1,655
WNT2,656
WNT3,657
WNT5A,658
WNT6,659
WNT7A,660
WNT8B,661
WNT10B,662
WNT11,663
WNT2B,664
WRN,665
WT1,666
XBP1,667
XDH,668
GAS8-AS1,669
XIST,670
XK,671
XPA,672
XPC,673
XPNPEP1,674
XPNPEP2,675
XPO1,676
XRCC1,677
XRCC2,678
XRCC3,679
XRCC4,680
FMNL1,681
XRCC5,682
YES1,683
YY1,684
YWHAB,685
LDLRAD4,686
YWHAE,687
YWHAH,688
YWHAZ,689
ZAP70,690
SF1,691
ZFP36,692
ZFP37,693
PTTG1IP,694
ZBTB14,695
ZFPL1,696
ZFX,697
ZFY,698
ZIC1,699
ZIC3,700
CFAP410,701
ZNF3,702
ZNF711,703
ZNF7,704
ZNF8,705
CNBP,706
ZNF10,707
ZNF12,708
ZNF14,709
ZNF16,710
TMEM50B,711
ZNF22,712
ZNF23,713
ZNF24,714
MPPED1,715
ZNF32,716
ZNF33B,717
ZNF35,718
ZKSCAN1,719
CA1,720
ZNF41,721
MZF1,722
ZNF43,723
ZNF45,724
ZBTB25,725
CA2,726
CA3,727
CA4,728
ZNF74,729
ZNF75D,730
ZNF76,731
CA5A,732
ZNF79,733
ZNF80,734
ZNF84,735
ZNF221,736
ZNF85,737
ZNF91,738
CA6,739
CA7,740
CA8,741
ZNF222,742
ZNF124,743
CA9,744
MKRN3,745
ZNF131,746
ZNF132,747
ZNF133,748
ZNF134,749
ZNF135,750
ZNF136,751
ZNF140,752
CA11,753
ZNF141,754
ZNF142,755
ZNF143,756
PCGF2,757
ZBTB16,758
ZNF146,759
TRIM25,760
ZNF148,761
ZBTB17,762
CA12,763
ZNF154,764
ZNF155,765
ZNF157,766
VEZF1,767
ZNF165,768
TRIM26,769
ZNF174,770
ZNF175,771
CACNA1A,772
ZNF177,773
ZNF180,774
ZNF184,775
ZNF185,776
CACNA1B,777
ZNF189,778
ZKSCAN8,779
ZSCAN9,780
ZNF195,781
CACNA1C,782
ZMYM2,783
ZNF200,784
ZNF202,785
ZNF204P,786
ZNF205,787
ZNF207,788
ZNF208,789
CACNA1D,790
