TF,Target
ELF1,RAB5C
ELF1,CHP1
ELF1,GPSM2
ELF1,LCMT2
ELF1,PCMT1
ELF1,ABCD3
ELF1,TNFAIP3
ELF1,FBXO5
ELF1,LARP6
ELF1,ZC3H12A
ELF1,SPG21
ELF1,INTS3
ELF1,NMB
ELF1,CRLF3
ELF1,SAYSD1
ELF1,SLC35A3
ELF1,C17orf75
ELF1,NTHL1
ELF1,MCUR1
ELF1,AHI1
ELF1,GOSR1
ELF1,OSBPL9
ELF1,NKIRAS2
ELF1,MRM1
ELF1,AMD1
ELF1,HDDC2
ELF1,MED1
ELF1,SPG11
ELF1,IBA57
ELF1,MKRN3
ELF1,PIP5K1A
ELF1,FKBP10
ELF1,WRAP73
ELF1,ASPHD1
ELF1,CADM3
ELF1,PLSCR3
ELF1,FLOT2
ELF1,DNAJC8
ELF1,TMOD3
ELF1,GRN
ELF1,DAP3
ELF1,NELFE
ELF1,RNF5
ELF1,IPP
ELF1,RPS18
ELF1,FAH
ELF1,COG4
ELF1,CDC14A
ELF1,TMEM14A
ELF1,FTO
ELF1,BECN1
ELF1,LPGAT1
ELF1,HOMER2
ELF1,NIPA2
ELF1,UBFD1
ELF1,TIPIN
ELF1,ISG20L2
ELF1,CDH15
ELF1,SMAD3
ELF1,LHX1
ELF1,SERF2
ELF1,CHRNB1
ELF1,CYP11A1
ELF1,PSMD3
ELF1,UROD
ELF1,STIL
ELF1,LOC730101
ELF1,YBX2
ELF1,MTF1
ELF1,HNF1B
ELF1,SDHB
ELF1,INPP5K
ELF1,FANCI
ELF1,PEX7
ELF1,PPIL6
ELF1,SMPD2
ELF1,LRRC1
ELF1,PMVK
ELF1,DHODH
ELF1,ZNF184
ELF1,TMEM231
ELF1,KIF14
ELF1,MRPS18A
ELF1,SNUPN
ELF1,SRR
ELF1,CENPQ
ELF1,HEBP2
ELF1,COA3
ELF1,SHCBP1
ELF1,CLUAP1
ELF1,ZFAND6
ELF1,E2F2
ELF1,HDAC2
ELF1,MRPS11
ELF1,GLOD4
ELF1,KIAA0319L
ELF1,WDR25
ELF1,TSR3
ELF1,SCYL3
ELF1,ASF1A
ELF1,CDKAL1
ELF1,TMCO1
ELF1,SCAMP3
ELF1,FBXL4
ELF1,STMN1
ELF1,CDC73
ELF1,RPS10
ELF1,TMEM11
ELF1,LPCAT4
ELF1,RMND1
ELF1,RAB11A
ELF1,AKIRIN1
ELF1,SF3A3
ELF1,KIF2C
ELF1,DEF6
ELF1,KIF23
ELF1,MRPS10
ELF1,RIT1
ELF1,TMEM208
ELF1,HNRNPR
ELF1,CTPS1
ELF1,TRMT1L
ELF1,HFE
ELF1,LEPROT
ELF1,MRTO4
ELF1,TGFB2
ELF1,CDC7
ELF1,SRP14
ELF1,CEP85
ELF1,NEK7
ELF1,ATMIN
ELF1,MFAP2
ELF1,NTN3
ELF1,PER3
ELF1,BBS4
ELF1,SMPDL3B
ELF1,PITRM1
ELF1,MED24
ELF1,MICA
ELF1,DET1
ELF1,LAMB3
ELF1,CCHCR1
ELF1,MRPL28
ELF1,PSMD4
ELF1,AKAP12
ELF1,CDH3
ELF1,IQCK
ELF1,TAF15
ELF1,OTUD7B
ELF1,YTHDF2
ELF1,GTF2H4
ELF1,SPAG5
ELF1,MDFI
ELF1,RPL27
ELF1,NDC1
ELF1,TLE3
ELF1,NQO1
ELF1,SV2A
ELF1,SZRD1
ELF1,DNALI1
ELF1,INPP5B
ELF1,SORD
ELF1,PLA2G15
ELF1,PEMT
ELF1,ZZZ3
ELF1,MRPS14
ELF1,TVP23B
ELF1,NPTN
ELF1,PEX11B
ELF1,IQCH
ELF1,FOXL1
ELF1,AARSD1
ELF1,PPCDC
ELF1,EEF1E1
ELF1,JMJD7
ELF1,LY6G5C
ELF1,ULBP2
ELF1,FXR2
ELF1,TMEM222
ELF1,ALG6
ELF1,OARD1
ELF1,C1orf116
ELF1,PDSS2
ELF1,PLLP
ELF1,FUCA1
ELF1,ICE2
ELF1,TOM1L2
ELF1,RPS12
ELF1,SKIV2L
ELF1,SF3B5
ELF1,SMG6
ELF1,BCAS2
ELF1,ELOVL5
ELF1,SLC6A9
ELF1,TMED3
ELF1,AGL
ELF1,HMGCL
ELF1,ATP8B2
ELF1,BCLAF1
ELF1,REPS1
ELF1,TSPAN3
ELF1,TMEM87A
ELF1,USP33
ELF1,LRRC36
ELF1,PAK1IP1
ELF1,SECISBP2L
ELF1,ZNF451
ELF1,TP73-AS1
ELF1,DXO
ELF1,MPI
ELF1,MAP1LC3C
ELF1,KLHL12
ELF1,MEF2A
ELF1,C1orf112
ELF1,SMCP
ELF1,PMF1
ELF1,ITGA10
ELF1,TNK1
ELF1,SEC11A
ELF1,BAHD1
ELF1,MAP3K5
ELF1,MAPK6
ELF1,SALL1
ELF1,ALDOC
ELF1,RBFOX1
ELF1,ZNF391
ELF1,SUCO
ELF1,CYB5R1
ELF1,KRT10
ELF1,MARCKSL1
ELF1,RIMS1
ELF1,FAM110D
ELF1,GUCA1B
ELF1,MASP2
ELF1,DIRAS3
ELF1,HSD17B8
ELF1,TAP1
ELF1,ANGPTL7
ELF1,POU3F2
ELF1,PYY
ELF1,C1orf54
ELF1,DOK4
ELF1,MSL1
ELF1,GREM2
ETS1,ALDH1A1
ETS1,CCND3
ETS1,ALDH3A1
ETS1,TOR1A
ETS1,NME4
ETS1,IGFBP4
ETS1,EEF1D
ETS1,DUSP4
ETS1,BBIP1
ETS1,NR0B1
ETS1,DNM1
ETS1,ARL3
ETS1,HLTF
ETS1,CLCF1
ETS1,PDGFA
ETS1,FADS1
ETS1,ALDH3B1
ETS1,TM7SF2
ETS1,FADS2
ETS1,ALDH3A2
ETS1,POLD4
ETS1,ASPH
ETS1,DECR2
ETS1,KRT7
ETS1,KLF10
ETS1,MSL1
ETS1,PSCA
ETS1,VAT1
ETS1,HMOX1
ETS1,KIFC3
ETS1,NAA40
ETS1,ZNF276
ETS1,FGL1
ETS1,ANKHD1
ETS1,DERL2
ETS1,RTN3
ETS1,SREBF1
ETS1,SLC4A2
ETS1,PSMB3
ETS1,HOXC6
ETS1,ANG
ETS1,SKP1
ETS1,DDIT4
ETS1,ULK1
ETS1,RPL12
ETS1,RPS26
ETS1,POLR2L
ETS1,FBXO9
ETS1,MUC5AC
ETS1,OXSM
ETS1,MYC
ETS1,MDM1
ETS1,EFHC1
ETS1,ZBTB10
ETS1,COMMD3
ETS1,SYNM
ETS1,ZDHHC13
ETS1,PYGL
ETS1,ANP32A
ETS1,ABCD3
ETS1,COQ2
ETS1,TCERG1
ETS1,DHRS3
ETS1,RC3H2
ETS1,CD151
ETS1,CTNNAL1
ETS1,AMPD2
ETS1,SURF1
ETS1,UIMC1
ETS1,UQCRH
ETS1,CAPRIN1
ETS1,METRN
ETS1,TSTA3
ETS1,PCGF2
ETS1,CCDC85B
ETS1,RPL15
ETS1,CCNL2
ETS1,ABCC2
ETS1,TMCO6
ETS1,RHOD
ETS1,EMC9
ETS1,S100A4
ETS1,EREG
ETS1,YY1
ETS1,CDK2AP2
ETS1,ICMT
ETS1,MRPL28
ETS1,SLC25A11
ETS1,GSTA4
ETS1,WWTR1
ETS1,TRMT112
ETS1,IFT81
ETS1,AACS
ETS1,ECI2
ETS1,TMPO
ETS1,HSDL2
ETS1,GGNBP2
ETS1,SLC31A1
ETS1,EPHX1
ETS1,RND2
ETS1,TMEM9B
ETS1,PC
ETS1,SLC47A1
ETS1,PHF21A
