TF,Target
ZNF468,EXD3
ZNF468,CLK3
ZNF468,SLC7A5
ZNF468,DDR1
ZNF468,UGDH
ZNF468,ISYNA1
ZNF468,SEZ6L
ZNF468,MRPL41
ZNF468,RTN2
ZNF468,ZNF34
ZNF468,PVALB
ZNF468,CASP9
ZNF468,CA4
ZNF468,BRINP1
ZNF468,APLP1
ZNF468,SERPINE1
ZNF468,USP13
ZNF468,HS3ST3A1
ZNF468,HIVEP1
ZNF468,CXXC4
ZNF468,RBX1
ZNF468,CYP17A1
ZNF468,GATA6
ZNF468,BCL2L11
ZNF468,CTBP2
ZNF468,ATP2C1
ZNF468,MPDZ
ZNF468,RING1
ZNF468,RAB21
ZNF468,PRDM2
ZNF468,SLC4A2
ZNF468,IRS1
ZNF468,SKIL
ZNF468,INHBC
ZNF468,BCL2L2
ZNF468,SRF
ZNF468,SRPK3
ZNF468,NFKBIE
ZNF468,CDC5L
ZNF468,BMP15
ZNF468,SLC9A3R2
ZNF468,FBXL7
ZNF468,WDR78
ZNF468,TEAD3
ZNF468,CHD8
ZNF468,SH2D3A
ZNF468,SPRY1
ZNF468,RUSC1
ZNF468,PAPSS2
ZNF468,EFNA4
ZNF468,RHOBTB1
ZNF468,PRR36
ZNF468,CHAT
ZNF468,PHIP
ZNF468,PPP1R16B
ZNF468,HPSE
ZNF468,CEBPB
ZNF468,CACNB2
ZNF468,PPP1R9A
ZNF468,SASH1
ZNF468,LIMK1
ZNF468,GPR153
ZNF468,ZNF180
ZNF468,PTPRN2
ZNF468,VAV1
ZNF468,GPR63
ZNF468,RABEP2
ZNF468,EPB41L4B
ZNF468,S1PR5
ZNF468,ZFP69B
ZNF468,RNF41
ZNF468,SIX6
ZNF468,PDLIM5
ZNF468,IRX4
ZNF468,TMEM184B
ZNF468,ATN1
ZNF468,MCOLN3
ZNF468,CHAC1
ZNF468,ELAC2
ZNF468,NFATC1
ZNF468,OSGEP
ZNF468,TCF4
ZNF468,PDZRN3
ZNF468,FAM214B
ZNF468,NMUR1
ZNF468,TNFRSF1A
ZNF468,CPA1
ZNF468,MAP1S
ZNF468,PNRC1
ZNF468,BRWD1
ZNF468,FGFR1
ZNF468,FAM155B
ZNF468,DNMT3A
ZNF468,DMWD
ZNF468,LRRC42
ZNF468,LINC00894
ZNF468,MMP11
ZNF468,NRP1
ZNF468,MLF2
ZNF468,TBX1
ZNF468,RARG
ZNF468,IGF2R
ZNF468,KCNK12
ZNF468,MARK1
ZNF468,TRHDE
ZNF468,NELL2
ZNF468,MYBPC2
ZNF468,NEDD4L
ZNF468,OLFML2A
ZNF468,KCNH6
ZNF468,NR4A1
ZNF468,STK38
ZNF468,SYT5
ZNF468,PRSS16
ZNF468,SARDH
ZNF468,CACNB3
ZNF468,LRFN3
ZNF468,SEC63
ZNF468,LRIG2
ZNF468,GNAI3
ZNF468,FZD5
ZNF468,ZNF532
ZNF468,HOMER3
ZNF468,PAQR5
ZNF468,KIFC1
ZNF468,ELF4
ZNF468,MAP4K2
ZNF468,SNCAIP
ZNF468,VAV2
ZNF468,SH2B2
ZNF468,SIRPA
ZNF468,RGS19
ZNF468,CSAD
ZNF468,FOXM1
ZNF468,SIL1
ZNF468,KCNA3
ZNF468,SLC3A2
ZNF468,TFR2
ZNF468,SOX17
ZNF468,EXOC6B
ZNF468,LUZP2
ZNF468,KCNC1
ZNF468,TMEM74B
ZNF468,USB1
ZNF468,ZFX
ZNF468,TRIB1
ZNF468,TGFB3
ZNF468,POU6F1
ZNF468,AR
ZNF468,JUND
ZNF468,ONECUT1
ZNF468,RAI14
ZNF468,PTHLH
ZNF468,INPP5J
ZNF468,MAN1A1
ZNF468,ARID1A
ZNF468,NR5A2
ZNF468,IL10RB
ZNF468,TBPL1
ZNF468,MTRF1L
ZNF468,RND3
ZNF468,RAI1
ZNF468,RCBTB2
ZNF468,MYO5C
ZNF468,SPOCK3
ZNF468,MYLK
ZNF468,DDIT3
ZNF468,LRRC41
ZNF468,C11orf71
ZNF468,SH3GLB1
ZNF468,NRCAM
ZNF468,CAMK1D
ZNF468,STK10
ZNF468,DYRK3
ZNF468,TP73
ZNF468,MYH7B
ZNF468,RNF44
ZNF468,ACVR1
ZNF468,ZNF444
ZNF468,GIP
ZNF468,SCN3B
ZNF468,TSPAN15
ZNF468,ADCY6
ZNF468,HILPDA
ZNF468,SLC22A17
ZNF468,SCD5
ZNF468,FAM117A
ZNF468,ZNF574
ZNF468,SLCO3A1
ZNF468,COL4A3
ZNF468,NXF3
ZNF468,IL6
ZNF468,ZNF264
ZNF468,KIF21B
ZNF468,UCHL1
ZNF468,TAF9
ZNF468,STARD5
ZNF468,ADAM19
ZNF468,RFXANK
ZNF468,WWP1
ZNF468,MAP2
ZNF468,DCHS1
ZNF468,DDIT4
ZNF468,PCSK7
ZNF468,EMP2
ZNF468,ROCK1
ZNF468,KCNN2
ZNF468,MPST
ZNF468,ZNF668
ZNF468,BMP8B
ZNF468,PKP2
ZNF468,SUPT3H
ZNF468,NDST2
ZNF468,LRRC1
ZNF468,EPB41
ZNF468,SRCAP
ZNF468,CRHR1
ZNF468,ACIN1
ZNF468,MAPRE3
ZNF468,PACSIN3
ZNF468,N4BP3
ZNF468,ATG101
ZNF468,KCNQ2
ZNF468,TIMP2
ZNF468,IL25
ZNF468,ZBTB16
ZNF468,ARC
ZNF468,SOX2
ZNF468,ZNF787
ZNF468,ATXN2L
ZNF468,TLE2
ZNF468,PTS
ZNF468,IFNAR1
ZNF468,BAZ2A
ZNF468,CTC1
ZNF468,CALD1
ZNF468,CEP131
ZNF468,PDGFB
ZNF468,ADRA1B
ZNF468,ZNF280D
ZNF468,TRIM3
ZNF468,CRB1
ZNF468,ZC3H12A
ZNF468,PPM1E
ZNF468,SOBP
ZNF468,DISC1
ZNF468,RAB25
ZNF468,PDP1
ZNF468,SART1
ZNF468,VPS72
ZNF468,COBLL1
ZNF468,MTX2
ZNF468,SSBP2
ZNF468,MSL3
ZNF468,GRIK4
ZNF468,ZNF234
ZNF468,SERPINF1
ZNF468,GRIN2B
ZNF468,KCNH2
ZNF468,FGGY
ZNF468,ZFPM2
ZNF468,SLC12A9
ZNF468,CDIP1
ZNF468,TRIM52
ZNF468,GNAL
ZNF468,FOSL2
ZNF468,CTCF
ZNF468,SCRN1
ZNF468,PRDM4
ZNF468,MAPK8IP1
ZNF468,CCNJL
ZNF468,SCNM1
ZNF468,C5orf22
ZNF468,PRKAR1A
ZNF468,GPC1
ZNF468,SNPH
ZNF468,FAM169A
ZNF468,PDLIM7
ZNF468,DNAJC4
ZNF468,RBFOX2
ZNF468,TCF3
ZNF468,SLC30A4
ZNF468,PPFIBP2
ZNF468,MKNK2
ZNF468,GCM2
ZNF468,RBM22
ZNF468,DAPK2
ZNF468,NOTCH1
ZNF468,AVPR2
ZNF468,ZFP2
ZNF468,IGSF9B
ZNF468,RNF144A
ZNF468,SLC12A7
ZNF468,RAB3B
ZNF468,FUBP1
ZNF468,ASAP3
ZNF468,ZNF362
ZNF468,ACP2
ZNF468,SEC14L1
ZNF468,SLC27A3
ZNF468,TRNAU1AP
ZNF468,IRGQ
ZNF468,RAVER2
ZNF468,MTMR7
ZNF468,KIAA0355
ZNF468,PTK6
ZNF468,PAFAH1B1
ZNF468,LTK
ZNF468,AAMDC
ZNF468,SP3
ZNF468,FNBP1
ZNF468,RAP1A
ZNF468,RNF31
ZNF468,BMX
ZNF468,LARP6
ZNF468,ELOVL4
ZNF468,PCYT1B
ZNF468,IER2
ZNF468,BDH1
ZNF468,CABP2
ZNF468,MSANTD2
ZNF468,CBX2
ZNF468,NPPC
ZNF468,HLA-DPA1
ZNF468,ETS1
ZNF468,FNDC3B
ZNF468,EXPH5
ZNF468,CUTA
ZNF468,GLS2
ZNF468,ZBTB20
ZNF468,ATG2B
ZNF468,PTPRCAP
ZNF468,CSTF2T
ZNF468,CCNJ
ZNF468,SRRM2
ZNF468,FOXA1
ZNF468,AKAP9
ZNF468,GLUL
ZNF468,ACHE
ZNF468,EFNA2
ZNF468,MAPK9
ZNF468,TAF6L
ZNF468,AGPAT1
ZNF468,UST
ZNF468,PIGL
ZNF468,ZNF749
ZNF468,POP7
ZNF468,PLEKHO1
ZNF468,PI4KB
ZNF468,INHBB
ZNF468,SCRT1
ZNF468,GFER
ZNF468,EPS8L2
ZNF468,SCN8A
ZNF468,AHDC1
ZNF468,AKAP17A
ZNF468,PRKAR1B
ZNF468,PBX1
ZNF468,GDPD3
ZNF468,BAHCC1
ZNF468,BFSP1
ZNF468,LHX3
ZNF468,FOXG1
ZNF468,CAMKV
ZNF468,PRPSAP2
ZNF468,YPEL5
ZNF468,CERS4
ZNF468,AP1G2
ZNF468,AIPL1
ZNF468,INHA
ZNF468,SUV39H2
ZNF468,EMC9
ZNF468,ARHGAP1
ZNF468,SMU1
ZNF468,HSPB11
ZNF468,DOC2B
ZNF468,TLL1
ZNF468,PODNL1
ZNF468,HLA-DPB1
ZNF468,ZNF10
ZNF468,INHBE
ZNF468,PIGB
ZNF468,MAPK11
ZNF468,DDAH2
ZNF468,IL17RB
ZNF468,POU2F3
ZNF468,WDR70
ZNF468,RYR1
ZNF468,TCEAL1
ZNF468,LRRC49
ZNF468,SNAP29
ZNF468,EFS
ZNF468,EPHB3
ZNF468,SEMA4C
ZNF468,AGPAT4
ZNF468,OSBP2
ZNF468,CRYM
ZNF468,MFAP5
ZNF468,MVP
ZNF468,MSI1
ZNF468,MROH7
ZNF468,CDK5
ZNF468,THOC6
ZNF468,AIDA
ZNF468,ADRA2A
ZNF468,DNAJB4
ZNF468,IFNGR2
ZNF468,NR2F6
ZNF468,MISP
ZNF468,E2F1
ZNF468,KLHL35
ZNF468,HMX1
ZNF468,DUSP21
ZNF468,MYO3A
ZNF468,TMEM259
ZNF468,RRS1
ZNF468,AHSP
ZNF468,FRMD1
ZNF468,BRINP3
ZNF468,TYMP
ZNF468,ASGR1
ZNF468,NTRK1
ZNF468,IFFO1
ZNF468,HOXA3
ZNF468,NR5A1
ZNF468,COL9A3
ZNF468,TBX21
ZNF468,RAB26
ZNF468,ACD
ZNF468,GRIN2D
ZNF468,SIM2
ZNF468,IQCA1
ZNF468,PADI3
ZNF468,LIN7B
ZNF468,MC1R
ZNF468,SIRT6
ZNF468,SOX1
ZNF468,SNCG
ZNF468,WT1-AS
ZNF468,EPOR
ZNF468,THTPA
ZNF468,MAST1
ZNF468,LY6G6C
ZNF468,FTH1
ZNF468,CCAR2
ZNF468,RIBC2
ZNF468,RAC3
ZNF468,HOXC8
ZNF468,ABHD8
ZNF468,FAM102A
ZNF468,CLDN9
ZNF468,CD7
ZNF468,TCP10
ZNF468,LRRC14
ZNF440,FEM1B
ZNF440,MBNL1
ZNF440,IL6
ZNF440,CREG1
ZNF440,RNF128
ZNF440,HEY2
ZNF440,NGDN
ZNF440,RIC8B
ZNF440,NME6
ZNF440,OGG1
ZNF440,MAX
ZNF440,GCLC
ZNF440,MPPED2
ZNF440,PRPSAP2
ZNF440,SAMD4A
ZNF440,GPATCH8
ZNF440,ZNF280D
ZNF440,PRKACB
ZNF440,ALKBH1
ZNF440,GRM3
ZNF440,PDLIM3
ZNF440,NUP88
ZNF440,TBC1D9
ZNF440,RBM48
ZNF440,PRKAB1
ZNF440,EIF4E
ZNF440,GK
ZNF440,LARP4
ZNF440,CAV1
ZNF440,FAM171A1
ZNF440,RPS6KA5
ZNF440,KLHDC2
ZNF440,EFHD2
ZNF440,FOLR1
ZNF440,TSC22D1
ZNF440,HEG1
ZNF440,DESI2
ZNF440,RPAIN
ZNF440,RFC5
ZNF440,TRIM2
ZNF440,ABHD10
ZNF440,PIAS1
ZNF440,CHTOP
ZNF440,MAB21L1
ZNF440,CCDC28A
ZNF440,CREM
ZNF440,C12orf29
ZNF440,ARL6IP5
ZNF440,ESR1
ZNF440,MOBP
ZNF440,FANCE
ZNF440,BAG2
ZNF440,MTF1
ZNF440,CDH18
ZNF440,BASP1
ZNF440,ADAM22
ZNF440,UTP20
ZNF440,SLC11A2
ZNF440,PRSS23
ZNF440,GLCE
ZNF440,COPS4
ZNF440,S100A13
ZNF440,UBE2N
ZNF440,MID1
ZNF440,DPY19L1
ZNF440,SIAH2
ZNF440,ATXN7
ZNF440,ZFR
ZNF440,SERPING1
ZNF440,EIF2B2
ZNF440,TIAM2
ZNF440,SPDL1
ZNF440,FBXL5
ZNF440,TBC1D12
ZNF440,SNTB2
ZNF440,CENPQ
ZNF440,ZBTB24
ZNF440,TMED5
ZNF440,SRPK2
ZNF440,PAM
ZNF440,MBNL2
ZNF440,TRIM21
ZNF440,WASL
ZNF440,ASTE1
ZNF440,ITGA2
ZNF440,ARFIP1
ZNF440,STARD13
ZNF440,PSMC2
ZNF440,ARMCX5
ZNF440,LRIG1
ZNF440,BMPR1A
ZNF440,MAP3K7CL
ZNF440,GPKOW
ZNF440,ZNF204P
ZNF440,TFB1M
ZNF440,PEX1
ZNF440,ALDH3A2
ZNF440,SCAPER
ZNF440,SERPINI2
ZNF440,CEP135
ZNF440,BIRC2
ZNF440,C1orf112
ZNF440,KLF12
ZNF440,ITGB3BP
ZNF440,ZSCAN32
ZNF440,METTL18
ZNF440,PFDN1
ZNF440,BCL6
ZNF440,UBA3
ZNF440,NRF1
ZNF440,FAM169A
ZNF440,TAT
ZNF440,PKNOX1
ZNF440,ZFX
ZNF440,BCL9
ZNF440,SH3GL3
ZNF440,UGT8
ZNF440,NEK11
ZNF440,OSBPL8
ZNF440,DENND5B
ZNF440,SLC7A1
ZNF440,LMO4
ZNF440,ARPC5
ZNF440,RRAS2
ZNF440,KCNN3
ZNF440,TAF7
ZNF440,BDNF
ZNF440,PSMD7
ZNF440,RPA3
ZNF440,RNF34
ZNF440,NFATC3
ZNF440,QRSL1
ZNF440,HINFP
ZNF440,SLIRP
ZNF440,TCTA
ZNF440,ELF1
ZNF440,USP12
ZNF440,PPP1R9A
ZNF440,IPP
ZNF440,TIMM8A
ZNF440,CSTF2T
ZNF440,LIMA1
ZNF440,FAM222B
ZNF440,CLOCK
ZNF440,COLGALT2
ZNF440,TPMT
ZNF440,NMT1
ZNF440,C10orf88
ZNF440,FABP6
ZNF440,COA7
ZNF440,PPP1R12A
ZNF440,KANSL2
ZNF440,LRRC8B
ZNF440,ZBED1
ZNF440,USP46
ZNF440,ZBED5
ZNF440,PACSIN3
ZNF440,MYCBP2
ZNF440,YWHAH
ZNF440,SNX4
ZNF440,SRR
ZNF440,C1QBP
ZNF440,MICU1
ZNF440,DGKG
ZNF440,PRKAA2
ZNF440,TUBG1
ZNF440,STK24
ZNF440,METAP1
ZNF440,ABCC5
ZNF440,KIF15
ZNF440,ATR
ZNF440,PCCA
ZNF440,ABCG2
ZNF440,KPNB1
ZNF440,KCNAB1
ZNF440,RAB33A
ZNF440,FOXO1
ZNF440,RASL10A
ZNF440,TRIM33
ZNF440,STK17A
ZNF440,RNF216
ZNF440,PPP1R12B
ZNF440,AQR
ZNF440,DDX25
ZNF440,F5
ZNF440,ZMYND11
ZNF440,CUX1
ZNF440,HSF2
ZNF440,KRT24
ZNF440,ACAN
ZNF440,DCP1A
ZNF440,PLEKHA1
ZNF440,FAM184A
ZNF440,NAA16
ZNF440,GREM2
ZNF440,ING4
ZNF440,LDHB
ZNF440,MTM1
ZNF440,PPAT
ZNF440,MTHFD1
ZNF440,HECW1
ZNF440,SSBP2
ZNF440,RPF1
ZNF440,SLC15A2
ZNF440,DMD
ZNF440,MTHFD2L
ZNF440,CDK14
ZNF440,TSHR
ZNF440,PALLD
ZNF440,DEK
ZNF440,PURA
ZNF440,C1orf105
ZNF440,RNF146
ZNF440,COA1
ZNF440,LRRC8D
ZNF440,UBE2D3
ZNF440,CTNNA1
ZNF440,OLAH
ZNF440,PTP4A2
ZNF440,PAWR
ZNF440,DDO
ZNF440,BIRC3
ZNF440,ARHGEF3
ZNF440,METAP2
ZNF440,TCF12
ZNF440,PACRG
ZNF440,PART1
ZNF440,LINC00574
ZNF440,FGD6
ZNF440,TCL1B
ZNF440,ANKRD7
ZNF440,UBE3A
ZNF440,ANKFY1
ZNF440,GALNT8
ZNF440,INTS7
ZNF440,GLMN
ZNF440,ASRGL1
ZNF440,CD44
ZNF440,ABCD3
ZNF440,DRAM1
ZNF440,ELMO1
ZNF440,TXK
ZNF440,ASCC3
ZNF440,RPE65
ZNF440,PRRG4
ZNF440,ENTPD5
ZNF440,ABI1
ZNF440,FNDC3A
ZNF440,IL6ST
ZNF440,USP3
ZNF440,AHCTF1
ZNF440,JAK1
ZNF440,DNAJC2
ZNF440,ELF5
ZNF440,SMAD5
ZNF440,FHIT
ZNF440,ANKS1B
ZNF440,NELL2
ZNF440,PDE8B
ZNF440,TNIP3
ZNF440,DENND4A
ZNF440,MYLIP
ZNF440,ANKRD28
ZNF440,TMEM255A
ZNF440,MRPS27
ZNF440,USP6NL
ZNF440,PLA2G1B
ZNF440,TGDS
ZNF440,DSPP
ZNF440,DYRK1A
ZNF440,ZNF263
ZNF440,DNM3
ZNF440,PLSCR4
ZNF440,SEMA6A
ZNF440,LANCL2
ZNF440,FAM20B
ZNF440,FER
ZNF440,KATNA1
ZNF440,HNRNPA2B1
ZNF440,ZKSCAN4
ZNF440,KLRB1
ZNF440,SPOCK2
ZNF440,RPH3A
ZNF440,MECOM
ZNF440,TMEM144
ZNF440,FRAS1
