TF,Target
AR,DHRS7B
AR,GPX7
AR,NCF2
AR,GJB5
AR,ELK4
AR,CACNA1H
AR,JMJD7
AR,CSDE1
AR,LRRK1
AR,CDCA8
AR,QSOX1
AR,JAK1
AR,GOSR2
AR,FDPS
AR,CCNF
AR,ADAT1
AR,REN
AR,GINS3
AR,TMOD2
AR,HEXIM1
AR,LDHAL6B
AR,KATNBL1
AR,NUSAP1
AR,DPT
AR,TYRO3
AR,DIO3
AR,ZZZ3
AR,TNS4
AR,IGFBP4
AR,ZC3H7A
AR,ITGA2B
AR,CYP1A1
AR,PCSK6
AR,TMEM51
AR,RAB40C
AR,ADCY7
AR,PPP1R13B
AR,MAP2K4
AR,NFASC
AR,VCAM1
AR,TSPAN2
AR,SLC13A2
AR,F11R
AR,YY1AP1
AR,CIITA
AR,SETD6
AR,CETP
AR,CYB5R1
AR,CD53
AR,TM6SF1
AR,CSF3R
AR,CEP152
AR,OVGP1
AR,CFAP45
AR,HAO2
AR,TUFT1
AR,STX8
AR,TSC2
AR,ABCA3
AR,CMPK1
AR,RHOC
AR,RAB8B
AR,PLLP
AR,THSD4
AR,DCAF8
AR,IL4R
AR,SLC2A4
AR,UBE4B
AR,SCNM1
AR,BLZF1
AR,MYO1E
AR,MYO1D
AR,ZNF592
AR,ZNF362
AR,KLHL21
AR,AGL
AR,BNC1
AR,PDZK1
AR,AP4E1
AR,S100A10
AR,PRDX6
AR,COX10
AR,S100A6
AR,S100A2
AR,MAPK6
AR,MYLPF
AR,ECHDC2
AR,SPEN
AR,DEXI
AR,PLIN1
AR,GLUL
AR,KRT14
AR,PEX19
AR,ARHGAP17
AR,GFAP
AR,C1QA
AR,NIPAL3
AR,RPS6KA1
AR,SPINT1
AR,RUNX3
AR,ALDH1A2
AR,CDH1
AR,MT2A
AR,NPL
AR,FKBP10
AR,ADORA1
AR,LYPLA2
AR,CAP1
AR,PPL
AR,ATP1B1
AR,MVP
AR,CAMK2N1
AR,NCDN
AR,C1orf105
AR,COA7
AR,SCP2
AR,SCAMP2
AR,RPAP1
AR,TCAP
AR,LMNA
AR,HPCA
AR,GSPT1
AR,S100A11
AR,SORT1
AR,HSPG2
AR,ADORA2B
AR,EFNA1
AR,S100A9
AR,METTL9
AR,PRKCZ
AR,PSMC3IP
AR,ADAMTSL3
AR,CDH16
AR,F5
AR,DNASE2B
AR,ISG20
AR,OLFML3
AR,PITPNA
AR,FAM174B
AR,PRKACB
AR,GNG12
AR,HSD17B2
AR,ATMIN
AR,BCL2A1
AR,ATP6V0B
AR,UBE3A
AR,MPZL1
AR,CKS1B
AR,TNFSF13
AR,JUN
AR,GPR161
AR,GCHFR
AR,GABRB3
AR,DYRK3
AR,FMO1
AR,IFI16
AR,RWDD3
AR,RHOT1
AR,NBR1
AR,KLHDC4
AR,DPEP1
AR,IL6R
AR,CA6
AR,PDE4B
AR,TNFRSF1B
AR,HSPB11
AR,CFAP20
AR,ADPRM
AR,SH3GLB1
AR,BAG5
AR,DHCR24
AR,PTGER3
AR,MT1M
AR,NOD2
AR,CRISPLD2
AR,PEX10
AR,HSD11B2
AR,GJA4
AR,BLMH
AR,CRYZ
AR,SUCO
AR,H6PD
AR,CTSE
AR,TMEM11
AR,TIE1
CTCF,NPLOC4
CTCF,DNAJC17
CTCF,ADAM15
CTCF,ARHGAP32
CTCF,DST
CTCF,KRT7
CTCF,DPYSL4
CTCF,BFSP1
CTCF,TGM2
CTCF,NDRG1
CTCF,TBR1
CTCF,ROBO3
CTCF,RAVER2
CTCF,LOC155060
CTCF,RIPK4
CTCF,DCAF7
CTCF,PIEZO1
CTCF,COL6A1
CTCF,FGF13
CTCF,STAU1
CTCF,NACA
CTCF,MME
CTCF,STK39
CTCF,F5
CTCF,ELOVL6
CTCF,RBM41
CTCF,CAPN2
CTCF,DCUN1D2
CTCF,TOP3A
CTCF,GPR176
CTCF,ARID5B
CTCF,RBPMS
CTCF,CPN2
CTCF,RNF128
CTCF,PCYT1A
CTCF,CTAGE1
CTCF,PGAP1
CTCF,CNTLN
CTCF,ZDHHC3
CTCF,C2CD3
CTCF,EYA4
CTCF,TRMT44
CTCF,TRIM58
CTCF,FAM189A1
CTCF,TNFAIP3
CTCF,SIX5
CTCF,AMMECR1
CTCF,TUBA1A
CTCF,MINPP1
CTCF,OR2J3
CTCF,ANXA2
CTCF,EMC6
CTCF,ST14
CTCF,TRPV6
CTCF,TAX1BP3
CTCF,TEX13A
CTCF,CCDC144A
CTCF,IL9
CTCF,BMX
CTCF,PAGE4
CTCF,HSPA6
CTCF,CRTAM
CTCF,GSTA1
CTCF,CRYBA2
CTCF,CTSC
CTCF,MAGIX
CTCF,FOXA1
CTCF,FGF3
CTCF,WT1-AS
CTCF,WT1
CTCF,ALDH8A1
CTCF,PRKG1
CTCF,PDE1C
CTCF,LPIN1
CTCF,UBQLN3
CTCF,NPHP4
CTCF,THPO
CTCF,ATP6V0A4
CTCF,ACAD8
CTCF,CRYBG3
CTCF,TUBA4B
CTCF,CABP2
CTCF,GINS2
CTCF,SPTSSA
CTCF,SDHD
CTCF,CEACAM6
CTCF,ZNF365
CTCF,SNX7
CTCF,ZDHHC11
CTCF,ZEB1
CTCF,PEG10
CTCF,GABRB3
CTCF,PLAGL1
CTCF,EGR2
CTCF,TFAP2C
CTCF,DCTN6
CTCF,EXD3
CTCF,DERL1
CTCF,RAP2B
CTCF,DYNLL1
CTCF,DYNC2LI1
CTCF,UGT2B4
CTCF,MCFD2
CTCF,ZNF155
CTCF,CD40
CTCF,ASPH
CTCF,PHLDA3
CTCF,MPHOSPH6
CTCF,PTPRM
CTCF,SSTR2
CTCF,STARD8
CTCF,ITGB7
CTCF,GCNT2
CTCF,ZNF550
CTCF,CSHL1
CTCF,GH2
CTCF,NMT1
CTCF,TRIM26
CTCF,PARVB
CTCF,HSPA8
CTCF,SLC7A9
CTCF,ZNF331
CTCF,ARHGEF4
CTCF,SERPINA7
CTCF,PTHLH
CTCF,PSG4
CTCF,MICAL1
CTCF,LRRC37A3
CTCF,KCNV2
CTCF,AIFM1
CTCF,NACA2
CTCF,MMP8
CTCF,TNFSF14
CTCF,CA4
CTCF,HS3ST3A1
CTCF,VANGL1
CTCF,HNRNPAB
CTCF,POU2F3
CTCF,RUNX1T1
CTCF,BAZ1A
CTCF,UQCRB
CTCF,LINC00574
CTCF,MRPS22
CTCF,PCDHGB6
CTCF,HAUS7
CTCF,SLC13A4
CTCF,IKZF2
CTCF,TRIP12
CTCF,PLXNB3
CTCF,MYO7A
CTCF,PRCC
CTCF,IRF6
CTCF,NGDN
CTCF,ASCL2
CTCF,SMPD2
CTCF,GGTLC1
CTCF,FXYD2
CTCF,SUPT7L
CTCF,POLR3F
CTCF,ACOXL
CTCF,MFSD10
CTCF,PERP
CTCF,EIF6
CTCF,DHX40
CTCF,MTMR11
CTCF,ZNF219
CTCF,PRKACB
CTCF,EMC8
CTCF,STEAP1B
CTCF,DPYS
CTCF,NIP7
CTCF,AADAC
CTCF,CDH5
CTCF,ASAH1
CTCF,ZSCAN9
CTCF,MMP16
CTCF,CUL3
CTCF,CDKN1A
CTCF,ETV3
CTCF,ZNF749
CTCF,NMD3
CTCF,CSGALNACT1
CTCF,IFNA16
CTCF,CYP26B1
CTCF,IFNA8
CTCF,SCN2A
CTCF,POLR2E
CTCF,PPP2CB
CTCF,MMP15
CTCF,AHCY
CTCF,GIPC2
CTCF,POU4F1
CTCF,TRIM9
CTCF,NFASC
CTCF,RUVBL1
CTCF,HDGF
CTCF,MICAL3
CTCF,KCNK10
CTCF,CHN2
CTCF,PTK2B
CTCF,TMEM243
CTCF,MNX1
CTCF,BNIP2
CTCF,PRUNE2
CTCF,TENM1
CTCF,CD44
CTCF,FRMPD4
CTCF,RPP40
CTCF,KRT81
CTCF,ARL2
CTCF,TRHDE
CTCF,CAMK2N1
CTCF,CSH1
CTCF,EIF3E
CTCF,TBX3
CTCF,NRP1
CTCF,ANK1
CTCF,EPN2
CTCF,ZSCAN5A
CTCF,QKI
CTCF,ZXDB
CTCF,PCK1
CTCF,MLPH
CTCF,USP19
CTCF,ALPP
CTCF,STAMBP
CTCF,PRKAG2
CTCF,RPS4X
CTCF,C12orf43
CTCF,TTC27
CTCF,SDF4
CTCF,UNC5B
CTCF,IL24
CTCF,MDH2
CTCF,CAV3
CTCF,STYXL1
CTCF,TTC22
CTCF,RECQL4
CTCF,RBMS3
CTCF,GALNT2
CTCF,KAZALD1
CTCF,KCNQ4
CTCF,ATP13A2
CTCF,NARS2
CTCF,CLDN7
CTCF,KCTD20
CTCF,PTPN21
CTCF,EIF3I
CTCF,INHBB
CTCF,LIF
CTCF,MST1R
CTCF,CLIC5
CTCF,ALS2CL
CTCF,KXD1
CTCF,ENOX1
CTCF,SAC3D1
CTCF,MAP2
CTCF,SGMS1
CTCF,GPA33
CTCF,TMEM100
CTCF,BANF1
CTCF,ERBB2
CTCF,NAV3
CTCF,LIMS2
CTCF,F2RL1
CTCF,FKBP1A
CTCF,RNASEH2A
CTCF,DPY19L4
CTCF,CLEC4M
CTCF,JAK3
CTCF,TCF4
CTCF,KRT9
CTCF,IL1RAPL1
CTCF,AIF1
CTCF,GPX4
CTCF,KCNIP2
CTCF,RETSAT
CTCF,FOXO3
CTCF,DDOST
CTCF,TRAPPC9
CTCF,ATP2B4
CTCF,TRAF6
CTCF,RBM12B
CTCF,UNC93B1
CTCF,TFRC
CTCF,ZNF7
CTCF,NOS1
CTCF,TSC22D1
CTCF,DUSP9
CTCF,GPC5
CTCF,DAAM1
CTCF,DNAJC24
CTCF,SLC18A3
CTCF,SDC4
CTCF,PLP2
CTCF,LBR
CTCF,ATP6V0A2
CTCF,EDAR
CTCF,DDAH1
CTCF,LGALS3
CTCF,NOL6
CTCF,RIN3
CTCF,AIP
CTCF,ARFRP1
CTCF,CPT2
CTCF,TSPAN12
CTCF,GNAS
CTCF,SH3TC2
CTCF,NIPSNAP1
CTCF,GPR20
CTCF,CCDC7
CTCF,CST7
CTCF,NOS3
CTCF,MRPS30
CTCF,FKBP8
CTCF,STK16
CTCF,SLC1A2
CTCF,MPP3
CTCF,ALG5
CTCF,RPS29
CTCF,LRRC42
CTCF,CDK5RAP3
CTCF,ANK2
CTCF,LILRB3
CTCF,KIAA0040
CTCF,PRSS23
CTCF,CSTF2
CTCF,GDPD5
