TF,Target
AR,SH3GL3
AR,AHDC1
AR,ANP32E
AR,NFAT5
AR,PNMT
AR,DBNDD1
AR,SPG7
AR,HSPB7
AR,ANPEP
AR,METRN
AR,ELP5
AR,SF3B4
AR,MLLT11
AR,HIVEP3
AR,CEP85
AR,ATP1A2
AR,XAF1
AR,LOXL1
AR,ADAM15
AR,PKM
AR,GJB4
AR,TAGLN2
AR,SMPDL3B
AR,KAT8
AR,KIF22
AR,FLOT2
AR,MT1E
AR,CALB2
AR,TNNI1
AR,RIMS3
AR,SLC2A5
AR,FLII
AR,GUCA2A
AR,ZDHHC18
AR,PMP22
AR,POLR3E
AR,AK4
AR,SEMA4A
AR,SEMA7A
AR,SLAMF8
AR,GDE1
AR,SRRM2
AR,MPRIP
AR,FUCA1
AR,HMGCL
AR,RAB13
AR,CDC42
AR,DLG4
AR,GADD45A
AR,SENP3
AR,PRKAB2
AR,GSE1
AR,ALOX15B
AR,PHLDA3
AR,ZBTB17
AR,CTF1
AR,GGA2
AR,S100PBP
AR,STRA6
AR,EFCAB14
AR,CCNL2
AR,DNAJA4
AR,PEMT
AR,MYBPH
AR,MTA1
AR,PALMD
AR,SLC9A1
AR,NUCKS1
AR,DHX8
AR,FHL3
AR,CTDNEP1
AR,AGRN
AR,SSX2IP
AR,NQO1
AR,AKTIP
AR,PGM1
AR,CD5L
AR,MFAP2
AR,MFGE8
AR,ATP13A2
AR,SGSM2
AR,FAH
AR,SCMH1
AR,BRF1
AR,PIK3R3
AR,CLDN9
AR,VWA1
AR,SPTBN5
AR,CTPS1
AR,ASGR2
AR,MAP3K6
AR,KRT16
AR,SSBP3
AR,BCL7C
AR,PBXIP1
AR,LINC01136
AR,TBC1D10B
AR,SNRNP40
AR,STARD3
AR,CPTP
AR,GABRD
AR,BCKDK
AR,MAP7D1
AR,ARID1A
AR,ASAP3
AR,BCL9
AR,SMCP
AR,TBX19
AR,SLC6A9
AR,MMP15
AR,PYY
AR,SLC47A1
AR,PKMYT1
AR,SYT2
AR,ALDH3A2
AR,RASGRF1
AR,FURIN
AR,HECTD3
AR,RPRD2
AR,NFATC2IP
AR,CDC14A
AR,CD2
AR,PLOD1
AR,UCK2
AR,EFNB3
AR,TSPAN3
AR,KRT17
AR,RASGRP1
AR,CRABP1
AR,CLK3
AR,S100A14
AR,RORC
AR,MPP3
AR,CHRM5
AR,CDCA4
AR,ARRB2
AR,ASH1L
AR,CASQ1
AR,INPP5K
AR,ACLY
AR,GALE
AR,SLC25A24
AR,SCAND2P
AR,NDC1
AR,PADI3
AR,RPL3L
AR,EXTL1
AR,TGFB1I1
AR,PRSS8
AR,FZD2
AR,EMC1
AR,DPM3
AR,GPATCH8
AR,SV2B
AR,FNBP1L
AR,SMG6
AR,VPS13D
AR,PLD2
AR,TMEM222
AR,DNTTIP2
AR,EPB41
AR,S100A4
AR,PTAFR
AR,SZT2
AR,KDM6B
AR,VAC14
AR,ARID3B
AR,NOS1AP
AR,SZRD1
AR,POGK
AR,RGL1
AR,ACADM
AR,SDHC
AR,CHRNB1
AR,APRT
AR,HP
AR,PER1
AR,GAS8
AR,ID3
AR,EMC6
AR,MLST8
AR,TOR1AIP1
AR,TAF1C
AR,SV2A
AR,NHLH1
AR,FHOD1
AR,MTHFR
AR,ACTC1
AR,IQGAP1
AR,FABP3
AR,HEYL
AR,ETV3
AR,GJA8
AR,KRT38
AR,FAAH
AR,AUNIP
AR,NLK
AR,MAPK8IP3
AR,FGR
AR,PAQR6
AR,ETV4
AR,ATP6V0C
AR,INSL5
AR,PHLPP2
AR,KRT15
AR,RCN2
AR,SDF4
AR,MYH2
AR,UBTF
AR,SREBF1
AR,NME4
AR,S100A8
AR,GNG13
AR,POLDIP2
AR,PIGV
AR,TNFSF18
AR,TSR1
AR,KIF21B
AR,PLA2G2D
AR,TOE1
AR,TTC22
AR,KDM4A
AR,PIK3C2B
AR,OAZ2
AR,SRSF10
AR,MYO1C
AR,MIIP
AR,IFI44L
AR,CREG1
AR,YBX1
AR,IL32
AR,MUTYH
AR,RHOT2
AR,TRAP1
AR,NR1I3
AR,TGM5
AR,PLSCR3
AR,AMPD1
AR,KLHDC8A
AR,MED31
AR,CHIA
AR,GNB5
AR,POU2F1
AR,PMF1
AR,CLCA4
AR,OR2C1
AR,GRIK3
AR,HSF4
AR,TBKBP1
AR,CCL22
AR,PGLYRP4
AR,IPO9
AR,ZNF688
AR,POMGNT1
AR,MAN2C1
AR,SH2D2A
AR,MPC2
AR,RGSL1
AR,ATP8B2
AR,GUCA2B
HIF1A,C15orf39
HIF1A,PHC2
HIF1A,PFN1
HIF1A,USP3
HIF1A,ZNF668
HIF1A,S100A10
HIF1A,RBM15
HIF1A,TNFRSF12A
HIF1A,F11R
HIF1A,SLC30A1
HIF1A,KIF14
HIF1A,TP53
HIF1A,WRAP53
HIF1A,CTF1
HIF1A,KLF13
HIF1A,BCL10
HIF1A,MAPK6
HIF1A,EXTL2
HIF1A,HSPG2
HIF1A,SLC39A1
HIF1A,MT2A
HIF1A,TLE3
HIF1A,THAP11
HIF1A,CDK18
HIF1A,ACP6
HIF1A,ACD
HIF1A,LMNA
HIF1A,IGF1R
HIF1A,MEGF6
HIF1A,SLC50A1
HIF1A,KLC1
HIF1A,SSX2IP
HIF1A,ZSCAN32
HIF1A,CCNF
HIF1A,ELP5
HIF1A,ERAL1
HIF1A,DDOST
HIF1A,RNF220
HIF1A,LYRM1
HIF1A,BAG5
HIF1A,ZNF200
HIF1A,USP48
HIF1A,ZNF276
HIF1A,APH1B
HIF1A,SETD1A
HIF1A,PINK1
HIF1A,MLX
HIF1A,RCC1
HIF1A,YRDC
HIF1A,G0S2
HIF1A,HMG20A
HIF1A,YTHDF2
HIF1A,SEPHS2
HIF1A,KDM4A
HIF1A,NES
HIF1A,FLOT2
HIF1A,TBC1D2B
HIF1A,MEF2A
HIF1A,RSRP1
HIF1A,BTBD1
HIF1A,MPC2
HIF1A,EMC6
HIF1A,NUBP2
HIF1A,ZC3H11A
HIF1A,EIF1
HIF1A,CNIH4
HIF1A,TADA2A
HIF1A,DCAKD
HIF1A,GNG5
HIF1A,HSPB11
HIF1A,SZRD1
HIF1A,LAMC1
HIF1A,ALDH3A2
HIF1A,STIL
HIF1A,CDC42SE1
HIF1A,PTP4A2
HIF1A,ZNF263
HIF1A,TGFB2
HIF1A,ASAP3
HIF1A,SORD
HIF1A,NUCKS1
HIF1A,PEAK1
HIF1A,SPATA2L
HIF1A,DDAH1
HIF1A,FAH
HIF1A,SENP3
HIF1A,KDM5B
HIF1A,BRF1
HIF1A,ZZZ3
HIF1A,PIP5K1A
HIF1A,FZD2
HIF1A,CDA
HIF1A,ENO1
HIF1A,IKBKE
HIF1A,NDE1
HIF1A,FKBP10
HIF1A,TYRO3
HIF1A,COTL1
HIF1A,TMED5
HIF1A,MAPK3
HIF1A,C1orf50
HIF1A,P3H1
HIF1A,PFAS
HIF1A,CA12
HIF1A,IL6R
HIF1A,MAPT
HIF1A,AEN
HIF1A,C1orf174
HIF1A,LAMB3
HIF1A,KLHL21
HIF1A,CERS2
HIF1A,RHOC
HIF1A,SH2D2A
HIF1A,PER1
HIF1A,ABR
HIF1A,TMEM63A
HIF1A,ARID1A
HIF1A,LOXL1
HIF1A,ENO3
HIF1A,SFN
HIF1A,DEXI
HIF1A,GIT1
HIF1A,SREBF1
HIF1A,LEPROT
HIF1A,USP33
HIF1A,LEPR
HIF1A,GPBP1L1
HIF1A,FUCA1
HIF1A,NMB
HIF1A,DDI2
